ID	Node_ID	X	Y	Z	Arc_Num	Arc_IDs
239	13025640	38431179.956	3741129.25266497	-360	1	778080
240	-13026360	38431183.5241541	3741121.70644	-360	1	778080
241	-13025360	38431290.1552547	3740990.9604	-360	1	778080
242	14023640	38431333.978	3740943.37113319	-360	1	778080
245	-15024360	38431535.0470897	3740860.21436	-360	1	778081
246	16022640	38431642.022	3740769.93983689	-360	1	778081
247	-16023360	38431684.448682	3740729.46832	-360	1	778081
248	-16022360	38431681.9991834	3740598.72228	-360	1	778081
249	-16021360	38431667.8685245	3740467.97624	-360	1	778081
250	17019640	38431796.044	3740373.87065128	-360	1	778081
251	18019640	38431950.066	3740457.37921874	-360	1	778081
252	-18021360	38431983.5774288	3740467.97624	-360	1	778081
253	19020640	38432104.088	3740488.52303691	-360	1	778081
254	-19021360	38432145.5137301	3740467.97624	-360	1	778081
255	20019640	38432258.11	3740439.64315325	-360	1	778081
256	-20021360	38432336.3877996	3740467.97624	-360	1	778081
257	21020640	38432412.132	3740503.56013488	-360	1	778081
260	22020640	38432566.154	3740523.09735549	-360	1	778082
261	23020640	38432720.176	3740549.07547808	-360	1	778082
262	-23022360	38432795.8485969	3740598.72228	-360	1	778082
263	24021640	38432874.198	3740653.66185923	-360	1	778082
264	25021640	38433028.22	3740661.38429895	-360	1	778082
265	26021640	38433182.242	3740632.13831505	-360	1	778082
266	-26022360	38433335.8889829	3740598.72228	-360	1	778082
267	27020640	38433336.264	3740598.56527535	-360	1	778082
268	28020640	38433490.286	3740582.84403888	-360	1	778082
269	-28022360	38433542.7895075	3740598.72228	-360	1	778082
270	29021640	38433644.308	3740633.9654949	-360	1	778082
271	-29023360	38433761.7763648	3740729.46832	-360	1	778082
276	16025580	38431642.022	3741143.26243467	-420	1	778084
277	-16027420	38431762.2418287	3741252.45248	-420	1	778084
278	-16028420	38431778.020655	3741383.19852	-420	1	778084
279	-16029420	38431679.391262	3741513.94456	-420	1	778084
280	16028580	38431642.022	3741531.08772196	-420	1	778084
283	-14029420	38431435.7035649	3741513.94456	-420	1	778085
284	-14028420	38431345.4349741	3741383.19852	-420	1	778085
287	28022580	38433490.286	3740859.5973066	-420	1	778086
288	-28024420	38433491.1986995	3740860.21436	-420	1	778086
289	28023580	38433490.286	3740862.36602874	-420	1	778086
294	-15028480	38431491.3891324	3741383.19852	-480	1	778088
